group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
MNIST-10 strong-baseline,fedavg_forced,3,0.1307333333333333,0.0501486579928498,0.11361274601782113,7720.0
MNIST-10 strong-baseline,fedprox_forced,3,0.1306,0.04990610514248859,0.11349128795099946,7720.0
PennyLane VQC MNIST-4,qproto_masked,3,0.7327083333333333,0.06302121211149266,0.7192256166973531,1940.0
PennyLane VQC MNIST-4,qproto_masked_hop,3,0.7337916666666666,0.06069519457469492,0.720297368395003,2708.0
PennyLane VQC MNIST-4,qproto_hop,1,0.414,0.0,0.41808609015857934,2324.0
PennyLane VQC MNIST-4,qproto_proto,1,0.41274999999999995,0.0,0.4169504810833284,1556.0
PennyLane VQC MNIST-4,fedavg_forced,1,0.394125,0.0,0.37328963740571364,1552.0
PennyLane VQC MNIST-4,fedprox_forced,1,0.39449999999999996,0.0,0.3733969234424185,1552.0
PennyLane VQC MNIST-4,no_schema,1,0.358875,0.0,0.35976536051553126,1556.0
PennyLane VQC MNIST-4,forced_canonical,1,0.35075,0.0,0.35352896893745916,1556.0
PennyLane VQC MNIST-4,wrong_schema,1,0.31775000000000003,0.0,0.3237166805250341,2324.0
PennyLane VQC MNIST-4,local_only,1,0.55075,0.0,0.5393886826631823,0.0
PennyLane VQC MNIST-4,classical_kernel,1,0.648,0.0,0.632991625586506,1556.0
PennyLane VQC MNIST-4 low-overlap,qproto_hop,1,0.327625,0.0,0.3293965448120212,2324.0
PennyLane VQC MNIST-4 low-overlap,qproto_proto,1,0.327375,0.0,0.32911999613945475,1556.0
PennyLane VQC MNIST-4 low-overlap,fedavg_forced,1,0.34850000000000003,0.0,0.31674208588228303,1552.0
PennyLane VQC MNIST-4 low-overlap,shared_observable,1,0.5411250000000001,0.0,0.5351753355704698,1556.0
PennyLane VQC MNIST-4 low-overlap,no_schema,1,0.3425,0.0,0.3392044010215597,1556.0
PennyLane VQC MNIST-4 low-overlap,forced_canonical,1,0.35375,0.0,0.35069547722278316,1556.0
PennyLane VQC MNIST-4 low-overlap,wrong_schema,1,0.28025,0.0,0.2828927510839223,2324.0
PennyLane high-order readout,qproto_masked,3,0.4217916666666667,0.04406455198190852,0.4217916666666667,1940.0
PennyLane high-order readout,qproto_masked_hop,3,0.5495,0.009021774237689219,0.5495,3476.0
PennyLane high-order readout,qproto_chop,3,0.6020416666666667,0.06046755993068069,0.6020416666666667,2324.0
PennyLane high-order readout,qproto_cproto,3,0.4031666666666667,0.06087288740996884,0.4031666666666667,788.0
PennyLane high-order readout,qproto_hop,3,0.31987499999999996,0.028346233636866742,0.319875,3092.0
PennyLane high-order readout,qproto_proto,3,0.2853333333333333,0.016333264184111723,0.2853333333333333,1556.0
PennyLane high-order readout,shared_observable,3,0.44562500000000005,0.053334675344753044,0.445625,1556.0
PennyLane high-order readout,no_schema,3,0.33816666666666667,0.05699303917083924,0.33816666666666667,1556.0
PennyLane high-order readout,forced_canonical,3,0.3495416666666667,0.040042296151638,0.3495416666666667,1556.0
PennyLane high-order readout,wrong_schema,3,0.2653333333333333,0.019274479592565813,0.2653333333333333,3092.0
PennyLane high-order schema-head,qproto_masked_hop,3,0.5495,0.009021774237689219,0.5495,3476.0
