setting,axis,value,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
MNIST-10 clients,clients,10.0,qproto_chop,3,0.7478666666666667,0.0359350597971111,0.7438528314668715,11564.0
MNIST-10 clients,clients,10.0,qproto_cproto,3,0.7472833333333334,0.038233862789813555,0.743256725435202,7724.0
MNIST-10 clients,clients,10.0,fedadam_schema,3,0.3708666666666667,0.12181837416458141,0.36461649792944906,7720.0
MNIST-10 clients,clients,10.0,fedavg_schema,3,0.19444999999999998,0.0613833922325697,0.1790520417501959,7720.0
MNIST-10 clients,clients,10.0,fedproto_schema,3,0.36016666666666663,0.04801209893784003,0.3567342026890623,7724.0
MNIST-10 clients,clients,10.0,shared_observable,3,0.69775,0.021047711518496028,0.6934427003651121,7724.0
MNIST-10 clients,clients,10.0,no_schema,3,0.24975000000000003,0.03221244117108853,0.24744857905472536,7724.0
MNIST-10 clients,clients,10.0,wrong_schema,3,0.14348333333333332,0.021141095356168586,0.1446323983842026,11564.0
MNIST-10 clients,clients,20.0,qproto_masked_hop,3,0.752375,0.03506950499740051,0.7483013272079153,24364.0
MNIST-10 clients,clients,20.0,qproto_chop,3,0.7486083333333333,0.04025108698111043,0.7444035130363523,11564.0
MNIST-10 clients,clients,20.0,qproto_cproto,3,0.7474,0.04023396082970784,0.7433063917043189,7724.0
MNIST-10 clients,clients,20.0,fedadam_schema,3,0.42941666666666667,0.0844866165812537,0.4229493813072206,7720.0
MNIST-10 clients,clients,20.0,fedavg_schema,3,0.29705,0.2590829102714495,0.2805929796106296,7720.0
MNIST-10 clients,clients,20.0,fedproto_schema,3,0.42380833333333334,0.061021559875878977,0.420940560615713,7724.0
MNIST-10 clients,clients,20.0,shared_observable,3,0.7015833333333333,0.030613000728347658,0.6972335610708198,7724.0
MNIST-10 clients,clients,20.0,no_schema,3,0.22434166666666666,0.025114276608419996,0.22087547572999494,7724.0
MNIST-10 clients,clients,20.0,wrong_schema,3,0.126125,0.0032864705358991923,0.12691844707731845,11564.0
MNIST-10 clients,clients,50.0,qproto_masked_hop,3,0.7521566666666667,0.03583871489261399,0.7480360671745128,24364.0
MNIST-10 clients,clients,50.0,qproto_chop,3,0.7467766666666668,0.03847987539936092,0.7425547332913399,11564.0
MNIST-10 clients,clients,50.0,qproto_cproto,3,0.7449166666666666,0.04070817919444084,0.7407150219319896,7724.0
MNIST-10 clients,clients,50.0,fedadam_schema,3,0.5182833333333333,0.03150941429557483,0.5078229575967488,7720.0
MNIST-10 clients,clients,50.0,fedavg_schema,3,0.2696033333333333,0.12772042972799438,0.2532934001911718,7720.0
MNIST-10 clients,clients,50.0,fedproto_schema,3,0.5317000000000001,0.028769290782722282,0.5262687749767438,7724.0
MNIST-10 clients,clients,50.0,shared_observable,3,0.7018333333333333,0.03407278985189132,0.6973161747082908,7724.0
MNIST-10 clients,clients,50.0,no_schema,3,0.19923666666666665,0.0075165635845229894,0.19403844063491374,7724.0
MNIST-10 clients,clients,50.0,wrong_schema,3,0.11507333333333333,0.009894696286053644,0.11540346131141671,11564.0
MNIST-10 clients,clients,100.0,qproto_masked_hop,3,0.7525033333333334,0.033695554381894616,0.7482426819157506,24364.0
MNIST-10 clients,clients,100.0,qproto_chop,3,0.7479450000000001,0.03633177304579411,0.7435686713984705,11564.0
MNIST-10 clients,clients,100.0,qproto_cproto,3,0.7455850000000002,0.040169104234951764,0.7412245411396804,7724.0
MNIST-10 clients,clients,100.0,fedadam_schema,3,0.55328,0.038252201756599866,0.5439186324652218,7720.0
MNIST-10 clients,clients,100.0,fedavg_schema,3,0.2753883333333333,0.06178671533399118,0.25882272941114604,7720.0
MNIST-10 clients,clients,100.0,fedproto_schema,3,0.5840150000000001,0.029873583310676365,0.5785455683378316,7724.0
MNIST-10 clients,clients,100.0,shared_observable,3,0.7007749999999999,0.03655423404466858,0.696182709533874,7724.0
MNIST-10 clients,clients,100.0,no_schema,3,0.18852166666666667,0.030480028817136597,0.1828631637960957,7724.0
MNIST-10 clients,clients,100.0,wrong_schema,3,0.11597333333333334,0.006156377722764645,0.115529635298928,11564.0
MNIST-10 overlap,overlap,0.2,qproto_masked_hop,3,0.7372083333333334,0.010778337416050573,0.73264778852313,24364.0
MNIST-10 overlap,overlap,0.2,qproto_chop,3,0.6888166666666666,0.021656741276343518,0.6831918002476777,11564.0
MNIST-10 overlap,overlap,0.2,qproto_cproto,3,0.6880833333333334,0.02283035625281146,0.6824791344488861,7724.0
MNIST-10 overlap,overlap,0.2,fedadam_schema,3,0.17272500000000002,0.018718977347717825,0.17024769913317528,7720.0
MNIST-10 overlap,overlap,0.2,fedavg_schema,3,0.15735833333333332,0.030994566880397,0.14645923211319206,7720.0
MNIST-10 overlap,overlap,0.2,fedproto_schema,3,0.158,0.016107657529035986,0.1580911866494986,7724.0
MNIST-10 overlap,overlap,0.2,shared_observable,3,0.5554416666666666,0.046365421248421884,0.5484699067791743,7724.0
MNIST-10 overlap,overlap,0.2,no_schema,3,0.21682500000000002,0.01288671872234966,0.21428173864946493,7724.0
MNIST-10 overlap,overlap,0.2,wrong_schema,3,0.119825,0.016807998491126436,0.12108900100446551,11564.0
MNIST-10 overlap,overlap,0.4,qproto_masked_hop,3,0.7395083333333333,0.021510009136409155,0.7351418238742633,24364.0
MNIST-10 overlap,overlap,0.4,qproto_chop,3,0.7098249999999999,0.03679819834845855,0.7046253412181862,11564.0
MNIST-10 overlap,overlap,0.4,qproto_cproto,3,0.7085083333333334,0.03711541904194022,0.7032951769406488,7724.0
MNIST-10 overlap,overlap,0.4,fedadam_schema,3,0.19447499999999998,0.03175655785858773,0.1921416496460095,7720.0
MNIST-10 overlap,overlap,0.4,fedavg_schema,3,0.16522499999999998,0.07372807317540392,0.15285644091035938,7720.0
MNIST-10 overlap,overlap,0.4,fedproto_schema,3,0.181975,0.02750941867890815,0.18231811755707966,7724.0
MNIST-10 overlap,overlap,0.4,shared_observable,3,0.6616416666666667,0.0471012414443399,0.6557560226771431,7724.0
MNIST-10 overlap,overlap,0.4,no_schema,3,0.220275,0.030588839803332796,0.21806130001166982,7724.0
