bytes_per_client_round,class_gap_proxy,config_anchor_normalize,config_anchor_size,config_bandwidth,config_class_sep,config_classical_bandwidth,config_classical_sketch_dim,config_common_policy,config_cov_boost,config_data_structure,config_dataset,config_dataset_path,config_depol_p,config_depol_std,config_dirichlet_alpha,config_hop_dim,config_hop_weight,config_n_classes,config_n_test,config_n_train,config_obs_per_client,config_observable_overlap,config_observables,config_participation,config_readout_p,config_readout_std,config_seed,config_shot_noise_scale,config_shots,config_sketch_dim,config_wrong_shift,distortion_proxy,elapsed_sec,final_acc,final_balanced_acc,method,run
1044,0.4065947097676166,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.468384027481079,0.4180833333333333,0.41476988639170126,qproto_proto,anchor32_seed0
1428,0.4065947097676166,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.7454946041107178,0.4364583333333333,0.43357264845232135,qproto_hop,anchor32_seed0
1432,0.40228385919406745,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.845564365386963,0.4383333333333333,0.4356854661132955,qproto_full,anchor32_seed0
1044,0.3392381478227658,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.3304675471138148,2.318203926086426,0.40283333333333327,0.4008717686453078,no_schema,anchor32_seed0
1428,0.37793021919454306,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.10878415904141532,3.3918044567108154,0.38108333333333333,0.3805779580677237,wrong_schema,anchor32_seed0
1044,0.42281898673931645,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.5983731746673584,0.39041666666666663,0.39149615201687443,qproto_proto,anchor32_seed1
1428,0.42281898673931645,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.4143874645233154,0.4140416666666667,0.4161591278077645,qproto_hop,anchor32_seed1
1432,0.4008625881277978,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.2696750164031982,0.41083333333333333,0.41349540612220154,qproto_full,anchor32_seed1
1044,0.3556584222906012,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.29431597950286065,2.0987703800201416,0.43375,0.4316520874962956,no_schema,anchor32_seed1
1428,0.36974804483356444,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.114899347717272,3.245041847229004,0.37270833333333336,0.37513202640948806,wrong_schema,anchor32_seed1
1044,0.42998717778459156,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,3.237353801727295,0.40708333333333335,0.4116707232199853,qproto_proto,anchor32_seed2
1428,0.42998717778459156,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,3.5842111110687256,0.47391666666666665,0.47740989097736614,qproto_hop,anchor32_seed2
1432,0.41906389340717415,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,3.5780439376831055,0.4762083333333333,0.48041263859122774,qproto_full,anchor32_seed2
1044,0.4181357817477427,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.39533724196474285,2.345099925994873,0.4258333333333334,0.42523761803902865,no_schema,anchor32_seed2
1428,0.44375037284921076,True,32,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.11226679754416735,3.6482300758361816,0.4489583333333333,0.44784524333299985,wrong_schema,anchor32_seed2
1044,0.4150878415814347,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.546910524368286,0.4221666666666667,0.4191039237027551,qproto_proto,anchor64_seed0
1428,0.4150878415814347,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.3889129161834717,0.442875,0.4395371611634758,qproto_hop,anchor64_seed0
1432,0.4129352994564815,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.5027201175689697,0.43904166666666666,0.43598863837949137,qproto_full,anchor64_seed0
1044,0.33797900257651037,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.34044462116380314,2.39914870262146,0.40424999999999994,0.40224296950736116,no_schema,anchor64_seed0
1428,0.3853932902883292,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.10901916191356976,3.7134881019592285,0.3839583333333333,0.38340983371074583,wrong_schema,anchor64_seed0
1044,0.414517263334264,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.582386016845703,0.39362500000000006,0.39496218530903715,qproto_proto,anchor64_seed1
1428,0.414517263334264,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,3.1535019874572754,0.4292083333333334,0.43126680773178994,qproto_hop,anchor64_seed1
1432,0.392550574326803,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,2.040257453918457,0.42441666666666655,0.42696679773693963,qproto_full,anchor64_seed1
1044,0.3545378829040254,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.29630394882017,1.2332713603973389,0.4335,0.43158661816529864,no_schema,anchor64_seed1
1428,0.36452730133107475,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.11307660777267807,1.8297393321990967,0.3704166666666666,0.37284136573960364,wrong_schema,anchor64_seed1
1044,0.42321659831119773,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,1.92203950881958,0.39991666666666664,0.40429280762700637,qproto_proto,anchor64_seed2
1428,0.42321659831119773,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,2.0241758823394775,0.47791666666666666,0.4803130492148796,qproto_hop,anchor64_seed2
1432,0.41249741405005463,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,1.9352953433990479,0.4831250000000001,0.4861390582904425,qproto_full,anchor64_seed2
1044,0.42608428667770265,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.3725851933182015,1.3179056644439697,0.425375,0.4248019202742925,no_schema,anchor64_seed2
1428,0.43509800726920383,True,64,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.11116154703341875,2.013655662536621,0.44558333333333344,0.4433229082525164,wrong_schema,anchor64_seed2
1044,0.4394091445032953,True,8,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.5123631954193115,0.4330416666666667,0.4300324023241265,qproto_proto,anchor8_seed0
1428,0.4394091445032953,True,8,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,0,1.0,"32,64,128,256,1024",64,,0.0,3.622734785079956,0.4690416666666667,0.4655534314627582,qproto_hop,anchor8_seed0
